,postcode,ruralurban,residents,males,females,household,cmmunal,students,area,densitypersons
152,B50  4,Total,5350.0,2608.0,2742.0,5273.0,77.0,69.0,1347.92,4.0
153,B6   4,Total,1090.0,519.0,571.0,1090.0,0.0,6.0,47.18,23.1
154,B6   5,Total,4388.0,2219.0,2169.0,4362.0,26.0,40.0,112.15,39.1
155,B6   6,Total,11456.0,5824.0,5632.0,11423.0,33.0,71.0,118.67,96.5
156,B6   7,Total,2730.0,1363.0,1367.0,2697.0,33.0,17.0,145.83,18.7
157,B60  1,Total,7692.0,3755.0,3937.0,7529.0,163.0,127.0,1428.36,5.4
158,B60  2,Total,7881.0,3775.0,4106.0,7792.0,89.0,133.0,294.0,26.8
159,B60  3,Total,9030.0,4440.0,4590.0,9028.0,2.0,123.0,573.99,15.7
160,B60  4,Total,3348.0,1685.0,1663.0,3303.0,45.0,44.0,2532.61,1.3
161,B61  0,Total,10028.0,4888.0,5140.0,9899.0,129.0,115.0,1190.89,8.4
162,B61  7,Total,5187.0,2597.0,2590.0,4774.0,413.0,86.0,219.94,23.6
163,B61  8,Total,5803.0,2784.0,3019.0,5700.0,103.0,54.0,219.51,26.4
164,B61  9,Total,2452.0,1222.0,1230.0,2452.0,0.0,57.0,2847.97,0.9
165,B62  0,Total,6307.0,3092.0,3215.0,6230.0,77.0,92.0,1422.23,4.4
166,B62  8,Total,8042.0,3996.0,4046.0,7993.0,49.0,90.0,627.74,12.8
167,B62  9,Total,10052.0,4870.0,5182.0,9973.0,79.0,98.0,242.13,41.5
168,B63  1,Total,5920.0,2873.0,3047.0,5897.0,23.0,101.0,233.68,25.3
169,B63  2,Total,12109.0,5935.0,6174.0,12065.0,44.0,74.0,334.51,36.2
170,B63  3,Total,7834.0,3818.0,4016.0,7817.0,17.0,80.0,291.76,26.9
171,B63  4,Total,10568.0,5188.0,5380.0,10543.0,25.0,98.0,318.48,33.2
172,B64  5,Total,3740.0,1825.0,1915.0,3736.0,4.0,17.0,116.05,32.2
173,B64  6,Total,6879.0,3471.0,3408.0,6798.0,81.0,34.0,185.46,37.1
174,B64  7,Total,5909.0,2834.0,3075.0,5850.0,59.0,40.0,185.21,31.9
175,B65  0,Total,5899.0,2913.0,2986.0,5831.0,68.0,24.0,144.22,40.9
176,B65  8,Total,7767.0,3800.0,3967.0,7765.0,2.0,35.0,276.16,28.1
177,B65  9,Total,10104.0,4908.0,5196.0,10082.0,22.0,30.0,233.78,43.2
178,B66  1,Total,3650.0,1799.0,1851.0,3593.0,57.0,26.0,171.45,21.3
179,B66  2,Total,1588.0,770.0,818.0,1588.0,0.0,8.0,59.93,26.5
180,B66  3,Total,7268.0,3622.0,3646.0,7215.0,53.0,59.0,233.24,31.2
181,B66  4,Total,8828.0,4399.0,4429.0,8746.0,82.0,54.0,99.51,88.7
182,B67  5,Total,9923.0,4767.0,5156.0,9860.0,63.0,105.0,192.38,51.6
183,B67  6,Total,10540.0,5128.0,5412.0,10498.0,42.0,59.0,161.14,65.4
184,B67  7,Total,9924.0,4971.0,4953.0,9837.0,87.0,71.0,172.05,57.7
185,B68  0,Total,9240.0,4448.0,4792.0,9239.0,1.0,70.0,212.64,43.5
186,B68  8,Total,9686.0,4776.0,4910.0,9639.0,47.0,55.0,237.21,40.8
187,B68  9,Total,11662.0,5665.0,5997.0,11600.0,62.0,78.0,205.78,56.7
188,B69  1,Total,14938.0,7328.0,7610.0,14772.0,166.0,80.0,306.91,48.7
189,B69  2,Total,5166.0,2573.0,2593.0,5123.0,43.0,35.0,273.57,18.9
190,B69  3,Total,3550.0,1747.0,1803.0,3550.0,0.0,28.0,146.41,24.2
191,B69  4,Total,5304.0,2724.0,2580.0,5258.0,46.0,19.0,225.74,23.5
192,B7   4,Total,3586.0,1770.0,1816.0,3586.0,0.0,22.0,118.59,30.2
193,B7   5,Total,4960.0,2402.0,2558.0,4956.0,4.0,30.0,249.82,19.9
194,B70  0,Total,6915.0,3430.0,3485.0,6901.0,14.0,60.0,406.23,17.0
195,B70  6,Total,6871.0,3572.0,3299.0,6793.0,78.0,46.0,346.28,19.8
196,B70  7,Total,3039.0,1525.0,1514.0,3031.0,8.0,12.0,146.26,20.8
197,B70  8,Total,3915.0,1994.0,1921.0,3847.0,68.0,16.0,76.17,51.4
198,B70  9,Total,7252.0,3742.0,3510.0,7144.0,108.0,50.0,208.69,34.8
199,B71  1,Total,8545.0,4119.0,4426.0,8454.0,91.0,51.0,144.91,59.0
200,B71  2,Total,10140.0,4930.0,5210.0,9957.0,183.0,59.0,243.88,41.6
201,B71  3,Total,8645.0,4312.0,4333.0,8642.0,3.0,69.0,342.32,25.3
202,B71  4,Total,3660.0,1786.0,1874.0,3644.0,16.0,15.0,234.5,15.6
203,B72  1,Total,9569.0,4658.0,4911.0,9434.0,135.0,190.0,314.33,30.4
204,B73  5,Total,13303.0,6483.0,6820.0,13154.0,149.0,257.0,298.34,44.6
205,B73  6,Total,9498.0,4622.0,4876.0,9455.0,43.0,200.0,353.58,26.9
206,B74  2,Total,9906.0,4829.0,5077.0,9820.0,86.0,183.0,1052.38,9.4
207,B74  3,Total,11322.0,5497.0,5825.0,11229.0,93.0,208.0,779.42,14.5
208,B74  4,Total,11242.0,5405.0,5837.0,11198.0,44.0,234.0,753.88,14.9
209,B75  5,Total,8079.0,3910.0,4169.0,8079.0,0.0,146.0,558.69,14.5
210,B75  6,Total,8894.0,4355.0,4539.0,8862.0,32.0,187.0,997.65,8.9
211,B75  7,Total,9714.0,4624.0,5090.0,9702.0,12.0,105.0,323.37,30.0
212,B76  0,Total,378.0,185.0,193.0,378.0,0.0,3.0,983.39,0.4
213,B76  1,Total,11672.0,5663.0,6009.0,11612.0,60.0,209.0,557.58,20.9
214,B76  2,Total,6525.0,3160.0,3365.0,6524.0,1.0,138.0,200.18,32.6
215,B76  9,Total,3076.0,1519.0,1557.0,3076.0,0.0,33.0,2405.86,1.3
216,B77  1,Total,10716.0,5331.0,5385.0,10654.0,62.0,119.0,852.49,12.6
217,B77  2,Total,14627.0,7213.0,7414.0,14601.0,26.0,86.0,327.58,44.7
218,B77  3,Total,8833.0,4311.0,4522.0,8811.0,22.0,80.0,184.39,47.9
219,B77  4,Total,14200.0,6968.0,7232.0,14188.0,12.0,101.0,638.22,22.2
220,B77  5,Total,8937.0,4409.0,4528.0,8917.0,20.0,98.0,348.02,25.7
221,B78  1,Total,10197.0,5039.0,5158.0,10124.0,73.0,108.0,1718.39,5.9
222,B78  2,Total,4379.0,2154.0,2225.0,4379.0,0.0,42.0,1345.43,3.3
223,B78  3,Total,9798.0,4887.0,4911.0,9750.0,48.0,110.0,3520.25,2.8
224,B79  0,Total,3210.0,1589.0,1621.0,3131.0,79.0,50.0,3211.98,1.0
225,B79  7,Total,6117.0,2989.0,3128.0,6042.0,75.0,48.0,379.84,16.1
226,B79  8,Total,10494.0,5028.0,5466.0,10359.0,135.0,118.0,595.54,17.6
227,B79  9,Total,2305.0,1133.0,1172.0,2241.0,64.0,43.0,4787.72,0.5
228,B8   1,Total,10570.0,5310.0,5260.0,10564.0,6.0,62.0,134.68,78.5
229,B8   2,Total,15262.0,7528.0,7734.0,15192.0,70.0,76.0,282.94,53.9
230,B8   3,Total,16097.0,8166.0,7931.0,16017.0,80.0,103.0,183.06,87.9
231,B80  7,Total,7060.0,3444.0,3616.0,6983.0,77.0,81.0,3109.75,2.3
232,B9   4,Total,4358.0,2205.0,2153.0,4328.0,30.0,26.0,184.84,23.6
233,B9   5,Total,20545.0,10055.0,10490.0,20390.0,155.0,88.0,302.77,67.9
234,B90  1,Total,10555.0,5197.0,5358.0,10495.0,60.0,129.0,650.99,16.2
235,B90  2,Total,12790.0,6122.0,6668.0,12781.0,9.0,156.0,307.41,41.6
236,B90  3,Total,10416.0,5055.0,5361.0,10379.0,37.0,156.0,260.87,39.9
237,B90  4,Total,11598.0,5603.0,5995.0,11347.0,251.0,202.0,565.69,20.5
238,B91  1,Total,10876.0,5313.0,5563.0,10819.0,57.0,335.0,411.39,26.4
239,B91  2,Total,11752.0,5635.0,6117.0,11599.0,153.0,164.0,662.28,17.7
240,B91  3,Total,10538.0,5158.0,5380.0,10478.0,60.0,354.0,528.6,19.9
241,B92  0,Total,3980.0,1957.0,2023.0,3971.0,9.0,96.0,3146.92,1.3
242,B92  7,Total,12664.0,6209.0,6455.0,12384.0,280.0,157.0,364.77,34.7
243,B92  8,Total,12428.0,6009.0,6419.0,12353.0,75.0,139.0,274.81,45.2
244,B92  9,Total,8173.0,3939.0,4234.0,8170.0,3.0,75.0,354.45,23.1
245,B93  0,Total,3467.0,1641.0,1826.0,3386.0,81.0,76.0,1728.23,2.0
246,B93  8,Total,7783.0,3800.0,3983.0,7776.0,7.0,272.0,762.13,10.2
247,B93  9,Total,8456.0,4128.0,4328.0,8369.0,87.0,262.0,588.08,14.4
248,B94  5,Total,3870.0,1926.0,1944.0,3869.0,1.0,82.0,4850.59,0.8
249,B94  6,Total,3510.0,1756.0,1754.0,3508.0,2.0,107.0,1569.3,2.2
250,B95  5,Total,3908.0,1873.0,2035.0,3861.0,47.0,83.0,2307.54,1.7
251,B95  6,Total,1755.0,852.0,903.0,1755.0,0.0,28.0,2974.91,0.6
252,B96  6,Total,5073.0,2475.0,2598.0,5073.0,0.0,89.0,4166.98,1.2
253,B97  4,Total,5757.0,2872.0,2885.0,5605.0,152.0,54.0,253.83,22.7
254,B97  5,Total,16741.0,8263.0,8478.0,16663.0,78.0,263.0,3490.36,4.8
255,B97  6,Total,10996.0,5902.0,5094.0,9870.0,1126.0,78.0,1748.34,6.3
256,B98  0,Total,14516.0,7270.0,7246.0,14509.0,7.0,135.0,591.2,24.6
257,B98  7,Total,19783.0,9905.0,9878.0,19729.0,54.0,171.0,696.56,28.4
258,B98  8,Total,9422.0,4728.0,4694.0,9411.0,11.0,60.0,349.93,26.9
259,B98  9,Total,6337.0,3119.0,3218.0,6302.0,35.0,44.0,1255.93,5.0
260,BA1  1,Total,1875.0,972.0,903.0,1585.0,290.0,26.0,50.48,37.1
261,BA1  2,Total,6533.0,3328.0,3205.0,6423.0,110.0,101.0,136.71,47.8
262,BA1  3,Total,7564.0,3601.0,3963.0,7415.0,149.0,169.0,248.88,30.4
263,BA1  4,Total,5319.0,2528.0,2791.0,5298.0,21.0,94.0,208.13,25.6
264,BA1  5,Total,4524.0,2228.0,2296.0,4262.0,262.0,115.0,240.74,18.8
265,BA1  6,Total,8242.0,4076.0,4166.0,8193.0,49.0,117.0,164.7,50.0
266,BA1  7,Total,5514.0,2658.0,2856.0,5429.0,85.0,117.0,988.62,5.6
267,BA1  8,Total,904.0,442.0,462.0,897.0,7.0,34.0,2309.38,0.4
268,BA1  9,Total,248.0,118.0,130.0,248.0,0.0,14.0,846.57,0.3
269,BA10 0,Total,3739.0,1820.0,1919.0,3238.0,501.0,143.0,4235.23,0.9
270,BA11 1,Total,4992.0,2434.0,2558.0,4941.0,51.0,69.0,93.57,53.4
271,BA11 2,Total,10935.0,5358.0,5577.0,10841.0,94.0,148.0,2751.34,4.0
272,BA11 3,Total,4944.0,2421.0,2523.0,4836.0,108.0,66.0,2441.85,2.0
273,BA11 4,Total,6285.0,3052.0,3233.0,6172.0,113.0,60.0,814.03,7.7
274,BA11 5,Total,3424.0,1643.0,1781.0,3363.0,61.0,63.0,5742.46,0.6
275,BA11 6,Total,1874.0,912.0,962.0,1872.0,2.0,49.0,716.08,2.6
276,BA12 0,Total,5660.0,2748.0,2912.0,5611.0,49.0,189.0,15214.68,0.4
277,BA12 6,Total,4285.0,2096.0,2189.0,4212.0,73.0,111.0,6416.43,0.7
278,BA12 7,Total,3068.0,1473.0,1595.0,3023.0,45.0,112.0,11819.98,0.3
279,BA12 8,Total,8989.0,4342.0,4647.0,8770.0,219.0,138.0,1279.4,7.0
280,BA12 9,Total,6506.0,3140.0,3366.0,6317.0,189.0,110.0,893.44,7.3
281,BA13 2,Total,1303.0,627.0,676.0,1303.0,0.0,17.0,65.18,20.0
282,BA13 3,Total,12876.0,6213.0,6663.0,12740.0,136.0,114.0,1361.43,9.5
283,BA13 4,Total,6045.0,2966.0,3079.0,6036.0,9.0,154.0,6359.23,1.0
284,BA14 0,Total,12465.0,6132.0,6333.0,12431.0,34.0,127.0,834.45,14.9
285,BA14 6,Total,5938.0,2873.0,3065.0,5809.0,129.0,109.0,4435.61,1.3
286,BA14 7,Total,15181.0,7368.0,7813.0,15101.0,80.0,192.0,1088.83,13.9
287,BA14 8,Total,5810.0,2921.0,2889.0,5737.0,73.0,42.0,212.17,27.4
288,BA14 9,Total,8744.0,4254.0,4490.0,8611.0,133.0,129.0,1946.44,4.5
289,BA15 1,Total,9149.0,4307.0,4842.0,9133.0,16.0,178.0,684.92,13.4
290,BA15 2,Total,3990.0,1904.0,2086.0,3947.0,43.0,108.0,3031.98,1.3
291,BA16 0,Total,10396.0,5098.0,5298.0,9464.0,932.0,142.0,1024.38,10.1
292,BA16 9,Total,2645.0,1278.0,1367.0,2645.0,0.0,24.0,2059.7,1.3
293,BA2  0,Total,4579.0,2261.0,2318.0,4510.0,69.0,68.0,1872.3,2.4
294,BA2  1,Total,12851.0,6268.0,6583.0,12645.0,206.0,101.0,316.55,40.6
295,BA2  2,Total,10477.0,5130.0,5347.0,10446.0,31.0,142.0,244.05,42.9
296,BA2  3,Total,9376.0,4574.0,4802.0,8601.0,775.0,134.0,152.53,61.5
297,BA2  4,Total,6277.0,3136.0,3141.0,6033.0,244.0,169.0,197.87,31.7
298,BA2  5,Total,7220.0,3427.0,3793.0,7128.0,92.0,156.0,326.38,22.1
299,BA2  6,Total,6122.0,2984.0,3138.0,5890.0,232.0,170.0,678.68,9.0
